County,CrimesPer100K,Pop100K,Physicians,HSGrad,Bachelors,Poverty,Unemploy,Region
"Los_Angeles, CA",77.73,88.63164,23677,70,22.3,11.6,8,W
"Cook, IL",85.589,51.05067,15153,73.4,22.8,11.1,7.2,NC
"Harris, TX",89.96,28.18199,7553,74.9,25.4,12.5,5.7,S
"San_Diego, CA",69.584,24.98016,5905,81.9,25.3,8.1,6.1,W
"Orange, CA",59.955,24.10556,6062,81.2,27.8,5.2,4.8,W
"Kings, NY",295.987,23.00664,4861,63.7,16.6,19.5,9.5,NE
"Maricopa, AZ",83.687,21.22101,4320,81.5,22.1,8.8,4.9,W
"Wayne, MI",91.859,21.11687,3823,70,13.7,16.9,10,NC
"Dade, FL",126.336,19.37094,6274,65,18.8,14.2,8.7,S
"Dallas, TX",115.639,18.5281,4718,77.1,26.3,10.4,6.1,S
"Philadelphia, PA",68.838,15.85577,6641,64.3,15.2,16.1,8,NE
"King, WA",82.901,15.07319,5280,88.2,32.8,5,4.6,W
"Santa_Clara, CA",51.422,14.97577,4101,82,32.6,5,5.5,W
"San_Bernardino, CA",58.595,14.1838,2463,75.4,14.9,10.3,8,W
"Cuyahoga, OH",51.801,14.1214,5620,74,20.1,11,5.5,NC
"Middlesex, MA",25.617,13.98468,5158,84.3,35.4,4.2,7.3,NE
"Allegheny, PA",37.552,13.36449,5281,79,22.6,8.7,5.3,NE
"Suffolk, NY",50.476,13.21864,3021,82.2,23,3.3,7,NE
"Nassau, NY",33.56,12.87348,6147,84.2,30,2.5,5.1,NE
"Alameda, CA",83.911,12.79182,3169,81.4,28.8,8.1,5.3,W
"Broward, FL",85.533,12.55488,2456,76.8,18.8,7.1,7.4,S
"Bexar, TX",112.282,11.85394,3062,72.7,19.7,16.2,6.7,S
"Riverside, CA",81.59,11.70413,1385,74.1,14.6,8.4,10.7,W
"Tarrant, TX",113.234,11.70103,1677,79.9,24,8.2,6.6,S
"Oakland, MI",47.032,10.83592,4020,84.6,30.2,4.4,7.3,NC
"Sacramento, CA",80.968,10.41219,2464,82.2,23,9.8,6.3,W
"Hennepin, MN",69.499,10.32431,3706,88.2,31.6,6.4,4.3,NC
"St._Louis, MO",42.872,9.93529,1194,82.3,29.2,4,5.1,NC
"Erie, NY",57.103,9.68532,2748,76.4,20,9.4,6.8,NE
"Franklin, OH",85.996,9.61437,2675,81,26.6,9.1,4.2,NC
"Milwaukee, WI",76.809,9.59275,2774,76.3,19.3,12.6,4.9,NC
"Westchester, NY",42.427,8.74866,4577,81,35.3,4.7,5.4,NE
"Hamilton, OH",66.043,8.66228,3164,75.6,23.7,10.3,4.5,NC
"Palm_Beach, FL",88.177,8.63518,1833,78.8,22.1,6.2,8.4,S
"Hartford, CT",60.962,8.51783,2851,77.7,25.8,6,6.9,NE
"Pinellas, FL",73.203,8.51659,1620,78.1,18.5,6.2,6.2,S
"Honolulu, HI",61.026,8.36231,2025,81.2,24.6,5.4,2.3,W
"Hillsborough, FL",107.781,8.34054,2012,75.6,20.2,9.5,6,S
"Fairfield, CT",53.615,8.27645,2417,81,34.2,4.5,5.9,NE
"Shelby, TN",81.12,8.2633,2489,75.1,20.8,14.7,5.4,S
"Bergen, NJ",34.555,8.2538,3226,81.6,31.7,2.7,5.2,NE
"Fairfax_County, VA",36.895,8.18584,1694,91.4,49,2.2,3.2,S
"New_Haven, CT",65.782,8.04219,3161,77.5,24.2,6,7.3,NE
"Contra_Costa, CA",63.756,8.03732,1761,86.5,31.6,5.5,5.6,W
