"","title","year","test","clean_test","binary","budget_2013","domgross_2013","intgross_2013"
"1","21 &amp; Over",2013,"notalk","notalk","FAIL",13000000,25682380,42195766
"2","Dredd 3D",2012,"ok-disagree","ok","PASS",45658735,13611086,41467257
"3","12 Years a Slave",2013,"notalk-disagree","notalk","FAIL",20000000,53107035,158607035
"4","2 Guns",2013,"notalk","notalk","FAIL",61000000,75612460,132493015
"5","42",2013,"men","men","FAIL",40000000,95020213,95020213
"6","47 Ronin",2013,"men","men","FAIL",225000000,38362475,145803842
"7","A Good Day to Die Hard",2013,"notalk","notalk","FAIL",92000000,67349198,304249198
"8","About Time",2013,"ok-disagree","ok","PASS",12000000,15323921,87324746
"9","Admission",2013,"ok","ok","PASS",13000000,18007317,18007317
"10","After Earth",2013,"notalk","notalk","FAIL",130000000,60522097,244373198
"11","American Hustle",2013,"ok-disagree","ok","PASS",40000000,148430908,249484909
"12","August: Osage County",2013,"ok","ok","PASS",25000000,37304874,50304874
"13","Beautiful Creatures",2013,"ok","ok","PASS",50000000,19452138,55940671
"14","Blue Jasmine",2013,"ok-disagree","ok","PASS",18000000,33345833,68447831
"15","Captain Phillips",2013,"notalk","notalk","FAIL",55000000,107136417,218743570
"16","Carrie",2013,"ok","ok","PASS",30000000,35266619,85001659
"17","Cloudy with a Chance of Meatballs 2",2013,"nowomen-disagree","nowomen","FAIL",78000000,119640264,271725448
"18","Despicable Me 2",2013,"ok","ok","PASS",76000000,368065385,970766005
"19","Don Jon",2013,"dubious-disagree","dubious","FAIL",5500000,24477704,26377704
"20","Elysium",2013,"ok-disagree","ok","PASS",120000000,93050117,286192091
"21","Ender&#39;s Game",2013,"men","men","FAIL",110000000,61737191,89737191
"22","Epic",2013,"ok-disagree","ok","PASS",100000000,107518682,268418682
"23","Escape from Planet Earth",2013,"ok","ok","PASS",40000000,57012977,66454811
"24","Escape Plan",2013,"men","men","FAIL",70000000,25213103,103813103
"25","Evil Dead",2013,"ok-disagree","ok","PASS",17000000,54239856,97402049
"26","Fast and Furious 6",2013,"ok-disagree","ok","PASS",160000000,238679850,788128122
"27","Frozen",2013,"ok","ok","PASS",150000000,393050114,1004550114
"28","G.I. Joe: Retaliation",2013,"ok-disagree","ok","PASS",140000000,122523060,371923060
"29","Gangster Squad",2013,"notalk","notalk","FAIL",60000000,46000903,104100903
"30","Gloria",2013,"ok","ok","PASS",30000000,4167493,4967493
"31","Gravity",2013,"nowomen-disagree","nowomen","FAIL",110000000,271814796,708714796
"32","Grown Ups 2",2013,"men-disagree","men","FAIL",80000000,133668525,247023808
"33","Hansel &amp; Gretel: Witch Hunters",2013,"ok","ok","PASS",50000000,55703475,225703475
"34","Her",2013,"men-disagree","men","FAIL",23000000,25000178,33029713
"35","Identity Thief",2013,"men-disagree","men","FAIL",35000000,134506920,176269721
"36","Insidious: Chapter 2",2013,"men","men","FAIL",5000000,83586447,161911222
"37","Iron Man 3",2013,"dubious-disagree","dubious","FAIL",200000000,408992272,1212692272
"38","Jack the Giant Slayer",2013,"nowomen-disagree","nowomen","FAIL",195000000,65187603,197387603
"39","Kick-Ass 2",2013,"ok","ok","PASS",28000000,28795985,60839197
"40","Last Vegas",2013,"notalk","notalk","FAIL",28000000,63914167,112914167
"41","Lee Daniels&#39; The Butler",2013,"ok","ok","PASS",30000000,116632095,151513429
"42","Machete Kills",2013,"ok","ok","PASS",2000000,8008161,9408161
"43","Mama",2013,"ok","ok","PASS",15000000,71628180,148041253
"44","Man of Steel",2013,"ok-disagree","ok","PASS",225000000,291045518,687999518
"45","Nebraska",2013,"ok-disagree","ok","PASS",12000000,17482517,17482517
"46","Now You See Me",2013,"notalk-disagree","notalk","FAIL",75000000,117723989,351723989
"47","Oblivion",2013,"men-disagree","men","FAIL",120000000,89107235,287537983
"48","Olympus Has Fallen",2013,"notalk","notalk","FAIL",70000000,98927592,150562164
"49","Oz the Great and Powerful",2013,"ok-disagree","ok","PASS",200000000,234770996,489570996
"50","Pacific Rim",2013,"notalk-disagree","notalk","FAIL",190000000,101802906,411002906
"51","Pain &amp; Gain",2013,"notalk","notalk","FAIL",26000000,49875291,81275291
"52","Parker",2013,"ok","ok","PASS",35000000,17616641,46346651
"53","Peeples",2013,"dubious","dubious","FAIL",15000000,9177065,9177065
"54","Percy Jackson: Sea of Monsters",2013,"ok","ok","PASS",90000000,68559554,200859554
"55","Prisoners",2013,"ok","ok","PASS",46000000,61002302,113402302
"56","R.I.P.D.",2013,"notalk","notalk","FAIL",130000000,33618855,79019947
